Loai,Gia(USD),So phong ngu,So phong tam,Dien tich(feet),Khu vuc,Duong,Vi do,Kinh do
Condo for sale,0.315,2,2,1400,New York,East 55th Street,40.761255,-73.9744834
House for sale,0.26,4,2,2015,New York,Staten Island,40.5418051,-74.1961086
Condo for sale,0.069,3,1,445,New York,New York,40.7613979,-73.9746128
House for sale,0.69,5,2,4004,New York,Brooklyn,40.6743632,-73.9587248
Condo for sale,0.8995,2,2,2184,New York County,Manhattan,40.809448,-73.946777
Co-op for sale,0.265,1,1,750,The Bronx,Morrison Avenue,40.8215857,-73.8740892
Co-op for sale,0.44,2,1,978,Kings County,Midwood,40.6157378,-73.9696944
Co-op for sale,0.375,2,1,850,Bronx County,Concourse Village,40.8248699,-73.9229829
Townhouse for sale,0.689,3,2,1162,New York,Staten Island,40.6249962,-74.1553058
Co-op for sale,0.259,3,1,2184,Queens County,Flushing,40.7531191,-73.8818757
Co-op for sale,0.43,2,2,2184,Queens County,Elmhurst,40.7438639,-73.8745722
Co-op for sale,0.895,3,1,2184,New York County,Manhattan,40.7382981,-74.0058899
Condo for sale,0.549,2,2,1000,Richmond County,Annadale,40.5406209,-74.1671632
Townhouse for sale,0.975,3,2,1734,New York,Queens,40.7607676,-73.9056672
Co-op for sale,0.199,3,1,325,Kings County,Fort Hamilton,40.6181029,-74.0369047
Co-op for sale,0.35,1,1,700,Bronx County,North Riverdale,40.9073699,-73.9065578
Condo for sale,0.599,2,2,974,Queens County,Rego Park,40.7324713,-73.8670804
House for sale,0.639999,3,2,1260,New York,Staten Island,40.6207403,-74.1114362
Condo for sale,1.3,2,2,1244,Queens County,Forest Hills,40.7202429,-73.8430513
Multi-family home for sale,1.1,6,3,2837,New York,The Bronx,40.8343936,-73.8221101
Condo for sale,0.3499,1,1,651,Richmond County,Dongan Hills,40.5902064,-74.0958034
House for sale,0.75,2,2,1330,New York,Staten Island,40.5039785,-74.2396555
Multi-family home for sale,1.69,6,4,2200,New York,Queens,40.710749,-73.809486
Co-op for sale,0.325,1,1,2184,Queens County,Jackson Heights,40.7505078,-73.8851355
Multi-family home for sale,2.25,12,2,5670,United States,Kings County,40.602654,-73.9869399
Co-op for sale,0.23,1,1,2184,New York,Queens,40.7557689,-73.8734231
Multi-family home for sale,1.299888,10,6,3156,Richmond County,Clifton,40.6155667,-74.0869554
Multi-family home for sale,0.925,5,2,2750,New York,The Bronx,40.8242389,-73.8173809
Condo for sale,0.329,1,2,794,New York,Staten Island,40.6210398,-74.1504313
Multi-family home for sale,1.3,10,8,5040,Richmond County,Mariners Harbor,40.6274381,-74.1581613
Multi-family home for sale,0.848,5,4,2080,New York,Brooklyn,40.6615475,-73.898309
Co-op for sale,0.279,1,1,750,Kings County,Midwood,40.6179165,-73.9546305
Condo for sale,0.528,1,1,602,Kings County,Dyker Heights,40.6275896,-74.0016198
Multi-family home for sale,1.299888,11,4,3156,Richmond County,Clifton,40.6155667,-74.0869554
Co-op for sale,0.275,1,1,2184,Queens County,Flushing,40.7528774,-73.8211834
Condo for sale,1.165,1,1,815,Kings County,Williamsburg,40.711969,-73.9649468
Multi-family home for sale,1.199,6,5,3290,New York,Staten Island,40.5159256,-74.2361135
Multi-family home for sale,0.7,6,2,3053,New York,The Bronx,40.852813,-73.9176871
Multi-family home for sale,2.15,8,4,3200,New York,Brooklyn,40.614446,-73.9795824
Multi-family home for sale,1.28,7,5,2460,New York,Queens,40.688312,-73.856322
Co-op for sale,0.1999,1,1,2184,Bronx County,Concourse,40.8260352,-73.9256625
Co-op for sale,0.369,2,1,2184,Queens County,Flushing,40.753455,-73.8209077
Multi-family home for sale,0.699,4,3,1591,New York,Queens,40.6847504,-73.8027331
Multi-family home for sale,0.825,2,2,2184,New York,Queens,40.768457,-73.789417
Condo for sale,0.329,2,1,837,Richmond County,Mid Island,40.6315346,-74.0856344
Multi-family home for sale,0.889,2,2,1520,New York,Staten Island,40.6233188,-74.1259917
Multi-family home for sale,0.769,2,2,2184,New York,Queens,40.6868333,-73.8309133
Multi-family home for sale,1.2,4,2,2536,New York,Brooklyn,40.6042861,-74.0012526
Co-op for sale,0.2205,2,1,900,Richmond County,Mid Island,40.6481488,-74.0847983
Multi-family home for sale,1.999,3,3,2739,New York,Brooklyn,40.6281691,-74.0297598
Condo for sale,1.65,2,2,1267,Kings County,Cobble Hill,40.6866098,-73.9997131
Multi-family home for sale,1.049,4,4,2554,New York,Staten Island,40.5016233,-74.2417531
House for sale,0.9987999999999999,3,4,2400,New York,Staten Island,40.6175,-74.103996
House for sale,0.9987999999999999,3,4,2400,United States,Richmond County,40.618648,-74.1019085
