Loai,Gia(USD),So phong ngu,So phong tam,Dien tich(feet),Khu vuc,Duong,Vi do,Kinh do,Khu vuc ma hoa,duong ma hoa
Condo for sale,315.0,2,2,1400,New York,East 55th Street,40.761255,-73.9744834,0,0
House for sale,260.0,4,2,2015,New York,Staten Island,40.5418051,-74.1961086,0,1
Condo for sale,69.0,3,1,445,New York,New York,40.7613979,-73.9746128,0,2
House for sale,690.0,5,2,4004,New York,Brooklyn,40.6743632,-73.9587248,0,3
Condo for sale,899.5,2,2,2184,New York County,Manhattan,40.809448,-73.946777,1,4
Co-op for sale,265.0,1,1,750,The Bronx,Morrison Avenue,40.8215857,-73.8740892,2,5
Co-op for sale,440.0,2,1,978,Kings County,Midwood,40.6157378,-73.9696944,3,6
Co-op for sale,375.0,2,1,850,Bronx County,Concourse Village,40.8248699,-73.9229829,4,7
Townhouse for sale,689.0,3,2,1162,New York,Staten Island,40.6249962,-74.1553058,0,1
Co-op for sale,259.0,3,1,2184,Queens County,Flushing,40.7531191,-73.8818757,5,8
Co-op for sale,430.0,2,2,2184,Queens County,Elmhurst,40.7438639,-73.8745722,5,9
Co-op for sale,895.0,3,1,2184,New York County,Manhattan,40.7382981,-74.0058899,1,4
Condo for sale,549.0,2,2,1000,Richmond County,Annadale,40.5406209,-74.1671632,6,10
Townhouse for sale,975.0,3,2,1734,New York,Queens,40.7607676,-73.9056672,0,11
Co-op for sale,199.0,3,1,325,Kings County,Fort Hamilton,40.6181029,-74.0369047,3,12
Co-op for sale,350.0,1,1,700,Bronx County,North Riverdale,40.9073699,-73.9065578,4,13
Condo for sale,599.0,2,2,974,Queens County,Rego Park,40.7324713,-73.8670804,5,14
House for sale,639.999,3,2,1260,New York,Staten Island,40.6207403,-74.1114362,0,1
Condo for sale,1300.0,2,2,1244,Queens County,Forest Hills,40.7202429,-73.8430513,5,15
Multi-family home for sale,1100.0,6,3,2837,New York,The Bronx,40.8343936,-73.8221101,0,16
Condo for sale,349.9,1,1,651,Richmond County,Dongan Hills,40.5902064,-74.0958034,6,17
House for sale,750.0,2,2,1330,New York,Staten Island,40.5039785,-74.2396555,0,1
Multi-family home for sale,1690.0,6,4,2200,New York,Queens,40.710749,-73.809486,0,11
Co-op for sale,325.0,1,1,2184,Queens County,Jackson Heights,40.7505078,-73.8851355,5,18
Multi-family home for sale,2250.0,12,2,5670,United States,Kings County,40.602654,-73.9869399,7,19
Co-op for sale,230.0,1,1,2184,New York,Queens,40.7557689,-73.8734231,0,11
Multi-family home for sale,1299.888,10,6,3156,Richmond County,Clifton,40.6155667,-74.0869554,6,20
Multi-family home for sale,925.0,5,2,2750,New York,The Bronx,40.8242389,-73.8173809,0,16
Condo for sale,329.0,1,2,794,New York,Staten Island,40.6210398,-74.1504313,0,1
Multi-family home for sale,1300.0,10,8,5040,Richmond County,Mariners Harbor,40.6274381,-74.1581613,6,21
Multi-family home for sale,848.0,5,4,2080,New York,Brooklyn,40.6615475,-73.898309,0,3
Co-op for sale,279.0,1,1,750,Kings County,Midwood,40.6179165,-73.9546305,3,6
Condo for sale,528.0,1,1,602,Kings County,Dyker Heights,40.6275896,-74.0016198,3,22
Multi-family home for sale,1299.888,11,4,3156,Richmond County,Clifton,40.6155667,-74.0869554,6,20
Co-op for sale,275.0,1,1,2184,Queens County,Flushing,40.7528774,-73.8211834,5,8
Condo for sale,1165.0,1,1,815,Kings County,Williamsburg,40.711969,-73.9649468,3,23
Multi-family home for sale,1199.0,6,5,3290,New York,Staten Island,40.5159256,-74.2361135,0,1
Multi-family home for sale,700.0,6,2,3053,New York,The Bronx,40.852813,-73.9176871,0,16
Multi-family home for sale,2150.0,8,4,3200,New York,Brooklyn,40.614446,-73.9795824,0,3
Multi-family home for sale,1280.0,7,5,2460,New York,Queens,40.688312,-73.856322,0,11
Co-op for sale,199.9,1,1,2184,Bronx County,Concourse,40.8260352,-73.9256625,4,24
Co-op for sale,369.0,2,1,2184,Queens County,Flushing,40.753455,-73.8209077,5,8
Multi-family home for sale,699.0,4,3,1591,New York,Queens,40.6847504,-73.8027331,0,11
Multi-family home for sale,825.0,2,2,2184,New York,Queens,40.768457,-73.789417,0,11
Condo for sale,329.0,2,1,837,Richmond County,Mid Island,40.6315346,-74.0856344,6,25
Multi-family home for sale,889.0,2,2,1520,New York,Staten Island,40.6233188,-74.1259917,0,1
Multi-family home for sale,769.0,2,2,2184,New York,Queens,40.6868333,-73.8309133,0,11
Multi-family home for sale,1200.0,4,2,2536,New York,Brooklyn,40.6042861,-74.0012526,0,3
Co-op for sale,220.5,2,1,900,Richmond County,Mid Island,40.6481488,-74.0847983,6,25
Multi-family home for sale,1999.0,3,3,2739,New York,Brooklyn,40.6281691,-74.0297598,0,3
